config_name,run,focus_strategy,survived,game_over_step,final_market_fit,final_market_share,peak_market_fit,peak_market_share,peak_revenue,pmf_achieved,time_to_pmf,final_technical_debt,final_bug_count,final_code_quality,final_feature_completeness,avg_technical_debt,avg_bug_count,avg_code_quality,avg_team_morale,avg_customer_satisfaction,final_cash_runway,avg_revenue,growth_rate,quality_speed_balance,sustainability_score,technical_health,business_performance
Always Sales,14,sales,True,,100.0,7.320274369313777,100.0,7.981877903749902,127.95101013465944,True,27.0,22.685167824180535,0.0,47.33519947931698,93.33575902449424,22.46425142967087,3.325371133319764,59.04744389545292,87.76290884606794,94.09038045877345,10780.763344185438,76.9038167209272,0.04066819094063209,0.3082320003079555,75.45349216506791,7298.534694669656,6319.275116149996
Always Sales,15,sales,True,,100.0,7.515405896019199,100.0,7.769583110902286,123.48116829545867,True,29.0,24.683253814270383,0.0,38.267770049595214,86.32505622898856,25.701435167782556,3.9931634658369894,54.09900428259958,83.07160957333774,93.56418184970542,10014.045341071916,70.37022670535958,0.041752254977884436,0.24232283431010623,74.66876726457039,6931.646318278511,6310.783324436092
Always Sales,16,sales,True,,100.0,7.2427424849082795,100.0,8.086768535648632,131.27664738725758,True,28.0,22.558797163394015,0.0,48.432991343930404,94.13020816460413,22.07878234391231,3.2626086651538513,59.736860893231324,84.2855049456378,94.09381817615272,12030.015363139544,79.0500768156977,0.04023745824949044,0.3163117305729564,75.57788284111442,7344.832998262834,6323.470741425946
Always Sales,17,sales,True,,100.0,6.271635852893228,100.0,7.632242039332215,131.58875843608746,True,28.0,22.022080412928126,0.0,49.87072499812325,95.19471118916816,21.562368156099602,3.212242456310828,60.449200570978995,85.99788062227248,94.1002815174096,10309.05287572109,74.54526437860547,0.034842421404962375,0.3269698478759011,75.59382849351329,7395.598266016438,6305.289681573288
Always Sales,18,sales,True,,100.0,7.324009905306461,100.0,8.579382580240017,139.1480493110552,True,26.0,22.061218511043524,0.0,49.57021897686099,95.07399778942658,21.675823106891404,3.1659099066237943,60.29449602912904,86.3232940425289,94.28778849331721,11211.69043347756,76.05845216738776,0.040688943918369226,0.3248575872478617,75.76005092041736,7389.30020687198,6343.1753032096
Always Sales,19,sales,True,,100.0,6.665397043789431,100.0,8.333425950284939,135.27172915435062,True,26.0,22.4357688641648,0.0,47.777548743384045,93.73399190310315,22.31266523363253,3.260177806876647,59.269657567273406,87.99337394192331,94.24184207041726,9680.28651706384,71.40143258531921,0.03702998357660795,0.311574200908685,75.557133825148,7318.161535607411,6333.337038011397
Always Sales,20,sales,True,,100.0,8.237362971716745,100.0,8.531790130015533,140.03999411274904,True,28.0,22.63134956901306,0.0,47.95909121965327,93.73590891612774,22.244338677195675,3.3167127636309637,59.43689150402363,85.47667141572596,94.02411285918757,11371.16965968583,77.85584829842917,0.04576312762064859,0.31276032831078215,75.62189175160665,7322.531076156517,6341.271605200621
Always Marketing,1,marketing,True,,100.0,6.584424098395077,100.0,7.998650753601489,132.82221535071145,True,30.0,22.131242753972764,0.0,49.17363673135799,94.43974108288403,21.800923572317675,3.373666046549178,60.03049748866325,84.8780785530541,93.71291172180534,8760.09449554175,64.80047247770877,0.03658013387997265,0.32151438975152985,75.60430477401978,7357.048737302979,6319.9460301440595
Always Marketing,2,marketing,True,,100.0,7.855337435542425,100.0,7.855337435542425,125.25029402375183,True,29.0,23.448592890365,0.0,42.72350226926691,89.73363197709554,24.093444834588126,3.7052197701249674,56.32769335952049,85.17104372638133,93.6882284313769,6058.0934057184,52.290467028592005,0.04364076353079125,0.2743602220281092,75.02022149103657,7101.068850993154,6314.213497421697
Always Marketing,3,marketing,True,,100.0,6.69780677644511,100.0,7.664392945917079,123.80967683164711,True,27.0,22.35244735652882,0.0,48.06885643947418,93.80296836383003,22.19761786821958,3.3402706391647787,59.39708439462419,86.8527599854664,93.97253829371002,6950.891513497736,58.7544575674887,0.03721003764691728,0.3135541269544203,75.44244124837705,7320.610863800218,6306.575717836683
Always Marketing,4,marketing,True,,100.0,7.703810577362115,100.0,7.703810577362115,124.1243587137461,True,29.0,22.110187801657382,0.0,49.200885897453,94.63336097109502,21.796901024041826,3.2821514348062157,60.04451560706807,85.62565686951726,93.97686069814341,7735.239242293283,60.67619621146641,0.042798947652011754,0.32192055580882467,75.54743945653263,7365.376468874075,6308.152423094484
Always Marketing,5,marketing,True,,100.0,7.622868592011106,100.0,7.622868592011106,122.07960565843477,True,35.0,22.28004401582055,0.0,48.021683288694966,93.01185565768345,22.184720942259737,3.7540262534959212,59.35865595347718,83.97540284732924,92.78963228683159,6944.844125002069,56.72422062501033,0.04234926995561726,0.31232276890234967,75.4283721114238,7285.045484035337,6304.914743680444
Always Marketing,6,marketing,True,,100.0,7.151780650530359,100.0,7.7727351092604104,125.09901187739106,True,27.0,22.10280642480357,0.0,49.28827621037224,94.80784848348691,21.770102722801358,3.2194507714057004,60.105162372602045,83.79299182180594,94.15800086766329,7586.811748832811,55.93405874416405,0.03973211472516866,0.3226976625854708,75.57032137774239,7373.965335322227,6310.909404370416
Always Marketing,7,marketing,True,,100.0,6.400224198149802,100.0,7.566257990253332,120.81568309594174,True,30.0,22.613529146682353,0.0,46.77620283333125,92.73552258782011,22.650769748769964,3.472345103163779,58.62948266307905,83.41696128885329,93.74185190045777,6387.966449905385,54.93983224952692,0.03555680110083223,0.3039058207639896,75.30767399751252,7263.040273385898,6302.650319610133
Always Marketing,8,marketing,True,,100.0,6.887454818758342,100.0,8.200984709751472,134.38066503481286,True,33.0,22.65447015549726,0.0,46.3447317888555,92.1497489621841,22.792581328288406,3.6454451104411216,58.359196645711705,82.53760390894992,93.29468424303553,7892.168834942751,60.46084417471375,0.03826363788199079,0.30043355202821387,75.39407643880705,7232.840426801615,6328.039388390059
Always Marketing,9,marketing,True,,100.0,5.182188484419608,100.0,6.8206261132910955,114.54766571892208,True,28.0,22.45791812967611,0.0,48.03240955311341,93.75881098104351,22.212031353971465,3.344713221927504,59.40349709536151,81.04223791201002,93.96468232179657,6697.213477148447,50.48606738574224,0.02878993602455338,0.3132650845900687,75.27464978696244,7319.992684598168,6272.825044531644
