config_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,total_headcount,eng_ratio,sales_ratio,mkt_ratio
Marketing-Heavy,4,True,,100.0,6.78277102563035,115.03806939988823,21.41647150098893,0.0,58.44457561480678,99.99999999999999,100.0,0.0,11641.773883416789,112.87397503486854,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,5,True,,100.0,7.507288616714308,111.97769621524158,21.942839396424876,0.0,54.867358211370686,99.99999999999999,100.0,0.0,11645.97059607691,113.60617192950708,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,6,True,,100.0,8.149839830620355,117.84750753467732,20.803664252921372,0.0,61.28580768743042,99.99999999999999,100.0,0.0,13901.153457028737,135.98144958483152,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,7,True,,100.0,6.875093197002644,121.72785063665327,20.229534854082903,0.0,65.29460658831215,99.99999999999999,100.0,0.0,13213.79035117329,96.06883487040854,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,8,True,,100.0,8.364650139332415,104.61446068009641,23.54213954716199,0.0,46.75818733519637,99.99999999999999,100.0,0.0,11160.293505855007,128.10288962102945,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,9,True,,100.0,6.921428550378512,116.4157423581147,21.210606522381738,0.0,60.07762755703225,99.99999999999999,100.0,0.0,12709.425548736841,111.69765745366615,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,10,True,,100.0,6.994073742332538,115.29625177568529,21.22998673091591,0.0,58.55677864714095,99.99999999999999,100.0,0.0,11640.021662454741,110.56160550503611,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,11,True,,100.0,7.899194270319363,118.9486687954905,20.555347088211168,0.0,62.62544851981284,99.99999999999999,100.0,0.0,12787.40465516866,124.91887618257796,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,12,True,,100.0,8.175978190670758,119.25935990016038,20.50196464887832,0.0,62.758393536708766,99.99999999999999,100.0,0.0,11017.282638028066,134.82284392334893,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
Marketing-Heavy,13,True,,100.0,6.912061627916364,116.78870089275222,21.006172788849334,0.0,60.07185884724281,99.99999999999999,100.0,0.0,10982.058829332,107.3928971353941,0,0,27,0.2962962962962963,0.18518518518518517,0.4444444444444444
