strategy_name,run,survived,survival_time,market_fit,market_share,feature_completeness,technical_debt,bug_count,code_quality,brand_awareness,organizational_alignment,organizational_conflict,cash_runway,revenue,funding_rounds,pivots_used,sustainability_index,velocity,debt_accumulation_rate
Extreme Quality,4,True,,100.0,5.66311394264057,96.27883318325654,0.0,0.33627890014060596,100.0,99.9999999998749,100.0,0.0,12755.23327933443,99.08260476699964,0,0,0.9989911632995782,0.4813941659162827,-0.019177553897978934
Extreme Quality,5,True,,100.0,6.951244594477021,96.22659404140545,0.0,0.33637004432006556,100.0,99.9999999999336,100.0,0.0,13049.861188808853,126.72590769538249,0,0,0.9989908898670399,0.4811329702070272,-0.020454642869830956
Extreme Quality,6,True,,100.0,5.454036108876594,96.2463610711584,0.0,0.33647707196755106,100.0,99.9999999996461,100.0,0.0,12146.472593603126,103.19051527232497,0,0,0.9989905687840974,0.481231805355792,-0.020121304960162477
Extreme Quality,7,True,,100.0,5.489055560720349,96.29092028227417,0.0,0.3362569123586287,100.0,99.99999999991972,100.0,0.0,13281.279826477612,122.9990952964499,0,0,0.998991229262924,0.48145460141137086,-0.019209833509379243
Extreme Quality,8,True,,100.0,4.37071961569134,96.22800993490084,0.0,0.33636755333068513,100.0,99.99999999987189,100.0,0.0,12278.430959517842,95.74064654996984,0,0,0.998990897340008,0.4811400496745042,-0.02120286446874739
Extreme Quality,9,True,,100.0,7.001847245954075,96.14941661677004,0.0,0.33650587921954983,100.0,99.99999999993706,100.0,0.0,12898.269606239763,137.8168587126066,0,0,0.9989904823623413,0.4807470830838502,-0.023578743468187936
Extreme Quality,10,True,,100.0,6.130679654556775,96.205378671356,0.0,0.33640737307832397,100.0,99.99999999985201,100.0,0.0,13075.425117707931,130.42425853042747,0,0,0.998990777880765,0.48102689335678,-0.020369552358671016
Extreme Quality,11,True,,100.0,7.330872599420849,96.21492408432579,0.0,0.33639469494794094,100.0,99.99999999996825,100.0,0.0,13721.935073660818,144.1641322951157,0,0,0.9989908159151563,0.48107462042162896,-0.021404683164089975
Extreme Quality,12,True,,100.0,5.284162988095565,96.28782966081778,0.0,0.3362627064293987,100.0,99.9999999998837,100.0,0.0,13331.61850363929,111.03738772881665,0,0,0.9989912118807118,0.4814391483040889,-0.01957001867936735
Extreme Quality,13,True,,100.0,6.124825824684513,96.29580849355304,0.0,0.3362483218655301,100.0,99.99999999998452,100.0,0.0,14131.462228311713,127.78708891849612,0,0,0.9989912550344034,0.4814790424677652,-0.019130223613539336
Extreme Quality,14,True,,100.0,8.151511056408072,96.24425223529735,0.0,0.3363389808302342,100.0,99.99999999950565,100.0,0.0,12607.492694846296,162.60571633739474,0,0,0.9989909830575092,0.4812212611764868,-0.021227430638619846
Extreme Quality,15,True,,100.0,6.453734905377889,96.24165146810964,0.0,0.33634355561882745,100.0,99.99999999991294,100.0,0.0,12104.410129631755,130.31102282937553,0,0,0.9989909693331436,0.4812082573405482,-0.020998202004307336
Extreme Quality,16,True,,100.0,6.507963337389742,96.2132555128394,0.0,0.33639351268424705,100.0,99.99999999964784,100.0,0.0,14466.704384762963,134.843509211317,0,0,0.9989908194619472,0.48106627756419695,-0.019701460582073383
Extreme Quality,17,True,,100.0,6.233326613902441,96.26097853793719,0.0,0.33630956258488587,100.0,99.99999999996993,100.0,0.0,13308.64012124488,123.08533106721394,0,0,0.9989910713122453,0.48130489268968596,-0.019874253117915533
Extreme Quality,18,True,,100.0,6.619573040327421,96.27198371013549,0.0,0.3362902085541333,100.0,99.99999999993594,100.0,0.0,12011.855420801148,142.1301250440895,0,0,0.9989911293743375,0.48135991855067745,-0.019891206372124593
Extreme Quality,19,True,,100.0,6.267007546215086,96.28528858845613,0.0,0.33626681387778695,100.0,99.99999999997499,100.0,0.0,12566.639012168647,133.4472195735169,0,0,0.9989911995583667,0.48142644294228065,-0.018776091684142085
Extreme Quality,20,True,,100.0,5.7572543348655625,96.24789326400916,0.0,0.3363325765405657,100.0,99.99999999995204,100.0,0.0,12963.70506341218,130.2251689991901,0,0,0.9989910022703782,0.48123946632004583,-0.020581447438122975
Technical Debt Spiral,1,False,37.0,75.85379671561752,0.0,21.494691108869777,85.93209092513627,48.167979459121575,41.889670134236496,99.12559411274908,100.0,0.0,-1.4246580039393812,3.50336056246004,1,0,0.36525846938417245,0.0,1.3272694030180767
Technical Debt Spiral,2,False,28.0,69.46617936756965,0.0,23.998991630669575,66.51101566767136,36.42755323566816,54.84055398098177,96.99125852369019,100.0,0.0,-5.42831630890295,4.46377321709539,0,0,0.5105465092139085,0.0,1.4252580528006373
Technical Debt Spiral,3,False,32.0,71.3319352190931,0.0,24.18373329631179,72.8803394941658,40.31547672610951,50.7510527555811,98.08858020739476,100.0,0.0,-3.668277524537489,5.356056499719988,0,0,0.46341676236149854,0.0,1.3998403221793523
Technical Debt Spiral,4,False,22.0,62.78809054998476,0.0,21.719427283164194,61.0161644961091,33.10050584644048,58.87362048189089,87.39217482933742,100.0,0.0,-0.8933012022179545,3.4548429615727154,0,0,0.5531444708999148,0.0,1.4344861283252843
